"ANOnto","APWND","APWNN","APWNS","AROnto","CBOOnto","CROnto","DITOnto","DxP","INROnto","LCOMOnto","NACOnto","NLR","NLRC","NOCOnto","NOMOnto","NxP","POnto","PROnto","RFCOnto","RROnto","SxAP","SxP","TMOnto","TMOnto2","WMCOnto","WMCOnto2"
1,0.044662062576988,-0.0369766460842866,-0.00692369893412416,0.210796092312731,-0.267287300524717,-0.251827222902855,-0.0218858272496632,0.0970540914760852,-0.130602140266915,-0.101208679845515,-0.0445065923245546,0.389021208722778,0.00692369893412416,-0.269030345476247,0.140639230381536,0.107596876834531,-0.127501711074318,0.090701217577892,0.138321166121079,-0.0907012151902555,0.00692369893412416,0.00692369893412416,0.0296795070184401,0.177141309747511,-0.0390460102817072,-0.0196156376200602
0.044662062576988,1,0.565260817356765,0.414998509837982,-0.237967107312492,0.186215657170351,0.174061299966772,-0.428374037261175,-0.798154574340004,-0.243075746841043,-0.222020013402211,-0.12760793659771,-0.223395689610576,-0.414998509837982,0.186379003407263,-0.166407303823658,-0.772925419588945,-0.519077028010676,-0.555108254791235,-0.182635497610487,0.555108252234317,-0.414998509837982,-0.414998509837982,-0.224216031419917,-0.430053336970373,0.00677996098585742,0.00419038974030601
-0.0369766460842866,0.565260817356765,1,0.400698124909725,-0.208862977169469,0.197664485072556,0.185125421228733,-0.730292800796573,-0.405262422704293,-0.581707680060411,-0.551771310172865,-0.603199611038312,-0.2595254417527,-0.400698124909725,0.197245524859428,-0.107873320615093,-0.718339358668474,-0.627017336957391,-0.296716450595157,-0.131415328549652,0.296716442184668,-0.400698124909725,-0.400698124909725,-0.701240449437274,-0.759970035803307,-0.432245542220858,-0.432463297558371
-0.00692369893412416,0.414998509837982,0.400698124909725,1,-0.0861995712013229,0.0666567233046771,0.0620348207502642,-0.675397409513381,-0.430627149033179,-0.0848639012649308,-0.0547855585929621,0.00561574185499056,-0.584047954355644,-1,0.0672097183054741,-0.079279416164499,-0.416039006804557,-0.185262959922831,-0.348053363765167,-0.105439114457352,0.348053369397923,-1,-1,-0.0121898846086964,-0.32013019096955,0.0512769362904412,0.044950308898796
0.210796092312731,-0.237967107312492,-0.208862977169469,-0.0861995712013229,1,-0.113639344836254,-0.106140015067469,0.0342383370804366,0.708883880265364,0.0100641101889143,-0.0189171241626298,-0.0118679488337328,-0.0882765344629275,0.0861995712013229,-0.114260703799076,0.485951211931121,0.680635227042398,0.178180460313911,0.595164642956009,0.490173721329183,-0.595164641449228,0.0861995712013229,0.0861995712013229,0.0421269024075545,0.328845254886322,-0.0554213778299588,-0.0436141428919251
-0.267287300524717,0.186215657170351,0.197664485072556,0.0666567233046771,-0.113639344836254,1,-0.0666792216730777,-0.186858455534746,-0.195642439724234,-0.0177060425095047,-0.22512389792883,-0.135703686612877,-0.151547025598007,-0.0666567233046771,0.999989273218006,-0.11382642980201,-0.23460596839109,-0.277973557355937,-0.220250026854578,-0.116282042678885,0.220250024991292,-0.0666567233046771,-0.0666567233046771,-0.135433289476215,-0.195816981429932,-0.0802227489869437,-0.0673792978247703
-0.251827222902855,0.174061299966772,0.185125421228733,0.0620348207502642,-0.106140015067469,-0.0666792216730777,1,-0.174866383461748,-0.182844511941505,-0.442765898284684,-0.210986729215349,-0.127255758955658,-0.14230312563535,-0.0620348207502642,-0.0673181817903316,-0.106675716222974,-0.219473854023541,-0.260268072089192,-0.206139679086109,-0.118893411610563,0.206139677332539,-0.0620348207502642,-0.0620348207502642,-0.12697200035469,-0.18331224768942,-0.0752794921159127,-0.0632359606661436
-0.0218858272496632,-0.428374037261175,-0.730292800796573,-0.675397409513381,0.0342383370804366,-0.186858455534746,-0.174866383461748,1,0.269934549389728,0.664972767631735,0.733678397192744,0.641618002432125,0.518825904414939,0.675397409513381,-0.186827381081723,-0.094616586012626,0.490068885504062,0.700731571334618,0.181596926319976,-0.0633830816518589,-0.18159692887023,0.675397409513381,0.675397409513381,0.68489952993504,0.783443808308822,0.582964658593997,0.573764484381098
0.0970540914760852,-0.798154574340004,-0.405262422704293,-0.430627149033179,0.708883880265364,-0.195642439724234,-0.182844511941505,0.269934549389728,1,0.00329577034515172,0.0043238033702451,-0.0588364898016962,0.119408734316987,0.430627149033179,-0.196259128950215,0.524358612705084,0.910241985758582,0.325294487766353,0.861855154680284,0.536796850827009,-0.861855153645045,0.430627149033179,0.43062714903318,0.0237658956609808,0.347633773973633,-0.125961357470973,-0.112761995200722
-0.130602140266915,-0.243075746841043,-0.581707680060411,-0.0848639012649308,0.0100641101889143,-0.0177060425095047,-0.442765898284684,0.664972767631735,0.00329577034515172,1,0.751061413333552,0.857593407272939,0.108857046561452,0.0848639012649308,-0.0166998984949265,-0.277268775182446,0.267566976591283,0.666868608831177,-0.13436041014524,-0.25305211147205,0.134360410628179,0.0848639012649308,0.0848639012649308,0.817475726205278,0.666833923137728,0.728883467722929,0.70259925505192
-0.101208679845515,-0.222020013402211,-0.551771310172865,-0.0547855585929621,-0.0189171241626298,-0.22512389792883,-0.210986729215349,0.733678397192744,0.0043238033702451,0.751061413333552,1,0.717240312868945,0.212521433377398,0.0547855585929621,-0.224657104776869,-0.223593151203035,0.259553733244761,0.839598434676807,-0.0882329228358596,-0.205679605182827,0.0882329234001832,0.0547855585929621,0.0547855585929621,0.768961574187415,0.718395267511825,0.678741757990058,0.650691826517734
-0.0445065923245546,-0.12760793659771,-0.603199611038312,0.00561574185499056,-0.0118679488337328,-0.135703686612877,-0.127255758955658,0.641618002432125,-0.0588364898016962,0.857593407272939,0.717240312868945,1,-0.02587959804912,-0.00561574185499056,-0.135361453002338,-0.146145040833443,0.26263285329425,0.523215919055624,-0.0560431585999311,-0.126884024123167,0.056043162413564,-0.00561574185499056,-0.00561574185499056,0.961317462028395,0.646439970026508,0.913000537033026,0.899212855719882
0.389021208722778,-0.223395689610576,-0.2595254417527,-0.584047954355644,-0.0882765344629275,-0.151547025598007,-0.14230312563535,0.518825904414939,0.119408734316987,0.108857046561452,0.212521433377398,-0.02587959804912,1,0.584047954355644,-0.152714112337062,-0.110566607606731,0.125797801922363,0.259767064438578,-0.0288358462018606,-0.094530247683398,0.028835845310122,0.584047954355645,0.584047954355645,0.0543255811694438,0.499017920981366,-0.11433027902386,-0.118415265204072
0.00692369893412416,-0.414998509837982,-0.400698124909725,-1,0.0861995712013229,-0.0666567233046771,-0.0620348207502642,0.675397409513381,0.430627149033179,0.0848639012649308,0.0547855585929621,-0.00561574185499056,0.584047954355644,1,-0.0672097183054742,0.079279416164499,0.416039006804557,0.185262959922831,0.348053363765167,0.105439114457352,-0.348053369397923,1,1,0.0121898846086964,0.32013019096955,-0.0512769362904412,-0.044950308898796
-0.269030345476247,0.186379003407263,0.197245524859428,0.0672097183054741,-0.114260703799076,0.999989273218006,-0.0673181817903316,-0.186827381081723,-0.196259128950215,-0.0166998984949265,-0.224657104776869,-0.135361453002338,-0.152714112337062,-0.0672097183054742,1,-0.11456643722484,-0.234816511667401,-0.276241406489588,-0.220288457999081,-0.117014753202507,0.22028845610864,-0.0672097183054742,-0.0672097183054742,-0.135237493727473,-0.196405274334536,-0.0795136232161802,-0.0666894783668601
0.140639230381536,-0.166407303823658,-0.107873320615093,-0.079279416164499,0.485951211931121,-0.11382642980201,-0.106675716222974,-0.094616586012626,0.524358612705084,-0.277268775182446,-0.223593151203035,-0.146145040833443,-0.110566607606731,0.079279416164499,-0.11456643722484,1,0.473678572593905,-0.187926996259727,0.680932725430533,0.999406952026319,-0.680932708405858,0.079279416164499,0.079279416164499,-0.13178573995008,-0.101509439603376,-0.0968119529063986,-0.0801675600223396
0.107596876834531,-0.772925419588945,-0.718339358668474,-0.416039006804557,0.680635227042398,-0.23460596839109,-0.219473854023541,0.490068885504062,0.910241985758582,0.267566976591283,0.259553733244761,0.26263285329425,0.125797801922363,0.416039006804557,-0.234816511667401,0.473678572593905,1,0.504015995286368,0.800564419722903,0.49172287223053,-0.800564416748841,0.416039006804557,0.416039006804557,0.357435743531354,0.58800453796799,0.170153099263668,0.181211787243074
-0.127501711074318,-0.519077028010676,-0.627017336957391,-0.185262959922831,0.178180460313911,-0.277973557355937,-0.260268072089192,0.700731571334618,0.325294487766353,0.666868608831177,0.839598434676807,0.523215919055624,0.259767064438578,0.185262959922831,-0.276241406489588,-0.187926996259727,0.504015995286368,1,0.167690033742916,-0.168718610127844,-0.16769003493631,0.185262959922831,0.185262959922831,0.626109695920389,0.745588046994692,0.452227744270394,0.435064093142558
0.090701217577892,-0.555108254791235,-0.296716450595157,-0.348053363765167,0.595164642956009,-0.220250026854578,-0.206139679086109,0.181596926319976,0.861855154680284,-0.13436041014524,-0.0882329228358596,-0.0560431585999311,-0.0288358462018606,0.348053363765167,-0.220288457999081,0.680932725430533,0.800564419722903,0.167690033742916,1,0.688815782324679,-0.999999999999999,0.348053363765167,0.348053363765167,-0.0073829093284059,0.160114268462407,-0.0205952293123797,-8.96358094511678e-05
0.138321166121079,-0.182635497610487,-0.131415328549652,-0.105439114457352,0.490173721329183,-0.116282042678885,-0.118893411610563,-0.0633830816518589,0.536796850827009,-0.25305211147205,-0.205679605182827,-0.126884024123167,-0.094530247683398,0.105439114457352,-0.117014753202507,0.999406952026319,0.49172287223053,-0.168718610127844,0.688815782324679,1,-0.688815765355557,0.105439114457352,0.105439114457352,-0.112977143445445,-0.0787395054484815,-0.0814427788905022,-0.0651934848373052
-0.0907012151902555,0.555108252234317,0.296716442184668,0.348053369397923,-0.595164641449228,0.220250024991292,0.206139677332539,-0.18159692887023,-0.861855153645045,0.134360410628179,0.0882329234001832,0.056043162413564,0.028835845310122,-0.348053369397923,0.22028845610864,-0.680932708405858,-0.800564416748841,-0.16769003493631,-0.999999999999999,-0.688815765355557,1,-0.348053369397923,-0.348053369397923,0.00738291547098286,-0.160114266172758,0.0205952266148779,8.96331588868297e-05
0.00692369893412416,-0.414998509837982,-0.400698124909725,-1,0.0861995712013229,-0.0666567233046771,-0.0620348207502642,0.675397409513381,0.430627149033179,0.0848639012649308,0.0547855585929621,-0.00561574185499056,0.584047954355645,1,-0.0672097183054742,0.079279416164499,0.416039006804557,0.185262959922831,0.348053363765167,0.105439114457352,-0.348053369397923,1,1,0.0121898846086964,0.32013019096955,-0.0512769362904412,-0.044950308898796
0.00692369893412416,-0.414998509837982,-0.400698124909725,-1,0.0861995712013229,-0.0666567233046771,-0.0620348207502642,0.675397409513381,0.43062714903318,0.0848639012649308,0.0547855585929621,-0.00561574185499056,0.584047954355645,1,-0.0672097183054742,0.079279416164499,0.416039006804557,0.185262959922831,0.348053363765167,0.105439114457352,-0.348053369397923,1,1,0.0121898846086964,0.32013019096955,-0.0512769362904412,-0.044950308898796
0.0296795070184401,-0.224216031419917,-0.701240449437274,-0.0121898846086964,0.0421269024075545,-0.135433289476215,-0.12697200035469,0.68489952993504,0.0237658956609808,0.817475726205278,0.768961574187415,0.961317462028395,0.0543255811694438,0.0121898846086964,-0.135237493727473,-0.13178573995008,0.357435743531354,0.626109695920389,-0.0073829093284059,-0.112977143445445,0.00738291547098286,0.0121898846086964,0.0121898846086964,1,0.75356682435865,0.87655828625294,0.872040115321235
0.177141309747511,-0.430053336970373,-0.759970035803307,-0.32013019096955,0.328845254886322,-0.195816981429932,-0.18331224768942,0.783443808308822,0.347633773973633,0.666833923137728,0.718395267511825,0.646439970026508,0.499017920981366,0.32013019096955,-0.196405274334536,-0.101509439603376,0.58800453796799,0.745588046994692,0.160114268462407,-0.0787395054484815,-0.160114266172758,0.32013019096955,0.32013019096955,0.75356682435865,1,0.47959594847748,0.471838068391553
-0.0390460102817072,0.00677996098585742,-0.432245542220858,0.0512769362904412,-0.0554213778299588,-0.0802227489869437,-0.0752794921159127,0.582964658593997,-0.125961357470973,0.728883467722929,0.678741757990058,0.913000537033026,-0.11433027902386,-0.0512769362904412,-0.0795136232161802,-0.0968119529063986,0.170153099263668,0.452227744270394,-0.0205952293123797,-0.0814427788905022,0.0205952266148779,-0.0512769362904412,-0.0512769362904412,0.87655828625294,0.47959594847748,1,0.997939213961303
-0.0196156376200602,0.00419038974030601,-0.432463297558371,0.044950308898796,-0.0436141428919251,-0.0673792978247703,-0.0632359606661436,0.573764484381098,-0.112761995200722,0.70259925505192,0.650691826517734,0.899212855719882,-0.118415265204072,-0.044950308898796,-0.0666894783668601,-0.0801675600223396,0.181211787243074,0.435064093142558,-8.96358094511678e-05,-0.0651934848373052,8.96331588868297e-05,-0.044950308898796,-0.044950308898796,0.872040115321235,0.471838068391553,0.997939213961303,1
