"Metric","Cluster_partition_k_2","Cluster_partition_k_3"
"ANOnto","1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1","1, 1, 1, 1, 3, 1, 1, 3, 1, 2, 2, 1, 3, 1"
"APWND","2, 2, 2, 1, 2, 1, 1, 1, 1, 2, 2, 2, 2, 2","2, 2, 2, 1, 2, 3, 3, 3, 1, 2, 2, 2, 2, 2"
"APWNN","2, 1, 2, 1, 2, 1, 1, 1, 2, 2, 2, 2, 2, 2","2, 1, 2, 1, 2, 3, 3, 3, 2, 2, 2, 2, 2, 2"
"APWNS","",""
"AROnto","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1","1, 2, 2, 2, 1, 1, 2, 2, 1, 1, 2, 2, 3, 1"
"CBOOnto","1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 2, 2, 1","1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 3, 2, 3, 1"
"CROnto","2, 2, 1, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2","2, 3, 1, 2, 2, 1, 2, 2, 3, 3, 2, 2, 3, 2"
"CWND","1, 2, 2, 1, 2, 1, 2, 2, 1, 1, 1, 1, 2, 2","1, 3, 2, 1, 3, 1, 3, 3, 2, 1, 1, 1, 3, 3"
"CWNN","1, 1, 2, 1, 2, 1, 1, 1, 2, 1, 1, 1, 2, 1","2, 2, 3, 2, 3, 2, 2, 2, 1, 2, 2, 2, 3, 2"
"CWNS","1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","3, 1, 1, 2, 1, 1, 3, 3, 1, 1, 1, 1, 1, 1"
"DITOnto","1, 2, 2, 2, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1","2, 3, 3, 3, 2, 1, 3, 2, 3, 2, 1, 1, 2, 2"
"DxC","1, 2, 2, 1, 2, 1, 2, 2, 1, 1, 1, 1, 2, 2","2, 3, 3, 2, 3, 2, 3, 3, 2, 2, 2, 1, 3, 3"
"DxP","1, 2, 2, 1, 2, 1, 1, 1, 2, 1, 1, 1, 2, 2","3, 2, 2, 3, 2, 3, 3, 3, 2, 3, 3, 1, 2, 2"
"INROnto","2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2","3, 1, 1, 1, 3, 2, 1, 1, 1, 3, 1, 1, 1, 3"
"LCOMOnto","2, 2, 1, 2, 1, 1, 2, 2, 2, 1, 1, 1, 1, 2","3, 3, 2, 3, 2, 1, 3, 3, 3, 2, 2, 1, 2, 3"
"LRClassPCT","2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1",""
"LRsxC","2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1","3, 1, 1, 1, 1, 1, 1, 3, 1, 1, 2, 1, 1, 1"
"NACOnto","2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2","2, 2, 1, 2, 2, 2, 1, 1, 2, 2, 2, 3, 1, 2"
"NLR","2, 2, 1, 1, 1, 1, 2, 2, 1, 2, 2, 1, 1, 1","3, 2, 1, 2, 1, 1, 2, 3, 1, 2, 2, 1, 1, 1"
"NLRC","2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1",""
"NOCOnto","1, 2, 1, 2, 2, 1, 1, 1, 2, 2, 1, 2, 2, 1","2, 3, 2, 3, 3, 1, 2, 2, 3, 3, 2, 3, 3, 2"
"NOMOnto","2, 1, 2, 1, 1, 1, 2, 1, 1, 1, 2, 2, 2, 2","2, 1, 3, 1, 1, 1, 3, 1, 3, 3, 3, 2, 2, 2"
"NxC","1, 1, 2, 1, 2, 1, 1, 1, 2, 1, 1, 1, 2, 1","1, 1, 2, 1, 2, 1, 3, 3, 2, 1, 1, 1, 2, 1"
"NxP","1, 1, 2, 1, 2, 1, 1, 1, 2, 1, 1, 1, 2, 2","1, 3, 2, 1, 2, 3, 3, 3, 2, 1, 1, 1, 2, 2"
"POnto","2, 2, 2, 2, 2, 1, 2, 1, 2, 2, 2, 1, 2, 2","2, 2, 2, 2, 2, 1, 2, 1, 2, 2, 2, 3, 2, 2"
"PROnto","2, 2, 2, 2, 1, 1, 2, 1, 2, 2, 2, 2, 2, 2","2, 3, 2, 3, 1, 1, 2, 1, 2, 2, 2, 2, 2, 2"
"RFCOnto","2, 1, 2, 1, 1, 1, 2, 1, 1, 1, 2, 2, 2, 2","2, 1, 3, 1, 1, 1, 3, 1, 3, 3, 3, 2, 2, 2"
"RROnto","2, 2, 2, 2, 1, 1, 2, 1, 2, 2, 2, 2, 2, 2","2, 3, 2, 3, 1, 1, 2, 1, 2, 2, 2, 2, 2, 2"
"SxAP","",""
"SxC","1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","3, 1, 1, 2, 1, 1, 3, 3, 1, 1, 1, 1, 1, 1"
"SxP","1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","3, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1"
"TMOnto","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1","2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 3, 1, 2, 2"
"TMOnto2","1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 2, 2, 2, 1",""
"WMCOnto","2, 2, 2, 2, 1, 1, 2, 2, 2, 1, 1, 1, 1, 2","2, 3, 2, 3, 1, 1, 3, 2, 3, 1, 1, 1, 1, 2"
"WMCOnto2","2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2","1, 1, 1, 1, 1, 1, 1, 3, 2, 1, 2, 2, 1, 1"
